Timestamp,Are you interested in news at the following geographical levels? Select all that apply.,Which of these topics interest you most? Select up to five.,Do any of these special stories interest you? Select all that apply.,"Are there any specific stories you would like to see more of in local news? For example, investigative articles, business profiles, opinion columns, cartoons, etc.",In which language do you prefer to get your news? [TV/Video],In which language do you prefer to get your news? [Radio/Audio/Podcast],In which language do you prefer to get your news? [Print/Text],How do you **most frequently** get your news?,"Which specific news sources do you most frequently use? Please list them here. For example, Hartford Courant, Record Journal, FOX news, CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",How would you **prefer** to get your news?,"How much do you trust news that comes from... [National news organizations (such as CNN, Univision)]","How much do you trust news that comes from... [Local news organizations (such as the Record-Journal, Patch, the Hartford Courant, CT Mirror)]","How much do you trust news that comes from... [Social media (such as Facebook, Twitter, TikTok, YouTube, Instagram)]",How much do you trust news that comes from... [Family/friends/word of mouth],How much do you agree with the following statements? [I trust the sources of news I get about my community.],How much do you agree with the following statements? [The local news covers issues that are important to me.],"How much do you agree with the following statements? [The local news reflects my beliefs, values, and customs.]",What town do you live in?,Do you identify as Hispanic/Latino/Latinx?,Which country were you born in?,What is your age range?,What is your gender identity?,What language do you speak at home?,Do any of the following describe you?,"Do you have access to a laptop or computer at home, or an internet-enabled device like a smartphone or iPad?",Do you have internet access at home?,Are you registered to vote?,"If you'd like to receive a digital coupon to CTown Supermarket for completing the survey, please provide your email address below. The coupon is valid for $5 off of a purchase of $50 or more.","If you entered your email above, would you also like to receive the Record-Journal Latino Communities Reporting Lab email newsletter?",Are you interested in being contacted to participate in a focus group so we can better understand your answers to the questions in this survey?,Is there anything else you would like to let us know?
2022/04/04 12:14:00 PM EST,Local;State;Regional/New England/NYC Metro,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,community events listed by dates and towns,English,I don't use this format,English,TV,channel 3 wfsb,Newspapers,Some,Some,Not at all,Some,Agree,Neutral,Neutral,Meriden,Yes,USA,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,Yes,NA,NA
2022/04/04 1:03:25 PM EST,Local;State,Local businesses;Health;Local events,Topics related to seniors;Topics related to community engagement,NA,English,English,English,Radio,NA,Radio,Some,A lot,Not at all,Some,Agree,Agree,Neutral,Southington,No,usa,50-59,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,NOT PROVIDED,No,NA,NA
2022/04/04 3:09:30 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Local businesses;Education;Local events;Real estate and homeownership",Topics related to families with children;Topics related to seniors;Topics related to community engagement,NA,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,"CNN, MSNBC",Social media,Some,Some,Not at all,Some,Agree,Neutral,Neutral,Southington,No,USA,30-39,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,Yes,NA,NA
2022/04/04 10:09:00 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Politics;Music, arts, and culture;Local events;Real estate and homeownership;Opportunities for community engagement;Travel and hospitality",Topics related to families with children;Topics related to seniors;Topics related to community engagement,opinion columns,English,English,English,Email/newsletters,"NPR,CNN",Email/newsletter,A lot,A lot,Not at all,Some,Neutral,Neutral,Neutral,Woodbridge,Yes,USA,50-59,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,NOT PROVIDED,No,NA,NA
2022/04/05 9:58:03 AM EST,State;National;International,"Music, arts, and culture;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,"Programs , sports for high school students, preparation for college. First steps .",Both English and Spanish,Both English and Spanish,Both English and Spanish,"Friends, social circles, or word of mouth","Telemundo,Univision",Email/newsletter,Not at all,Not at all,Some,Some,Neutral,Neutral,Neutral,New Britain,Yes,Puerto Rico,30-39,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Not sure,REMOVED,Yes,NA,Thanks for have the Latino Communities being involve in all these.
2022/04/11 12:17:29 PM EST,Local;State,"Music, arts, and culture;Local businesses;Education;Health;Diversity and social justice;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,NA,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,NA,Social media,A lot,A lot,A lot,Some,Neutral,Agree,NA,Bristol,Yes,US,40-49,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,Yes,NA,NA
2022/04/11 12:52:18 PM EST,Local;State;National,"Politics;Music, arts, and culture;Health;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to seniors;Topics related to community engagement,investigative stories,English,English,English,TV,cnn,Email/newsletter,A lot,Some,Not at all,Not at all,Agree,Agree,Agree,Southington,No,USA,60-69,Woman,English,None of these,No,No,Yes,NOT PROVIDED,No,NA,no
2022/04/12 1:12:06 PM EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT PROVIDED,NA,NA,NA
2022/04/12 1:24:53 PM EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REMOVED,NA,NA,NA
2022/04/23 11:30:38 AM EST,Local;State;Regional/New England/NYC Metro;National;International,Politics;Local events;Opportunities for community engagement;Diversity and social justice;Technology,Topics related to families with children;Topics related to small business owners;Topics related to community engagement,NA,Spanish,Spanish,Spanish,News apps,"Vox, PBS, DW, AP, VICE, WAPO",News apps,Some,Some,Not at all,Not at all,Neutral,Neutral,Neutral,Wallingford,Yes,United States,30-39,Man,English,I am a parent of a child under 18 years old;I am a student;I am a small business owner,Yes,Yes,Yes,NOT PROVIDED,NA,NA,NA
